text,label,sentence_count,mean_words_per_sentence,std_words_per_sentence,neighbor_sentences_diff,neighbor_sentences_diff_std,abbrev_per_sentence,capitals_per_sentence,avg_dash_quest_semicolon_per_sentence,double_quest_excl_count,avg_excl_per_sentence,human_fillers,ai_fillers,ai_fillers2,woke,fake_news,ai_words1,ai_words2
"I anledningen af de Nordiske Mesterskaber hvor mere end 100 ryttere og heste er samlet for at ride efter guldet, kom TV-Midt/Vest forbi og lavede en flot reportage fra NM. NM foregår i disse dage på Landskuepladsen i Herning - et anlæg som Herning Kommune har postet mere end 1 million kroner i, da der i 2015 skal afholdes Verdensmesterskaber på anlægget. Bo Hansen fra Dansk Islandsheste Forening udtaler at det ""NM er en prøve på om anlægget holder, om banerne fungerer og om parkeringsforholdene duer"". Det er en stor begivenhed at Danmark lægger hus til 2 så store begivenheder så tæt på hinanden, med både et NM i år og et VM til næste år. For mindre end 14 dage siden afholdtes DM, og det danske landshold rider i øjeblikket efter guldmedaljerne i 9 forskellige discipliner. Reportagen fra TV-Midt/Vest kan ses her:   nm2014.dk/index.php/DK/om-nm2014/ nyheder/176-tv2-midt-vest-var-forbi   FOTO: Landsholdet til dette års NM (DI-foto)",0,6.0,28.0,5.385164807134504,5.0,2.3664319132398464,0.3333333333333333,8.0,1.6666666666666667,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
" En af de mest imponerende egenskaber ved iWick® fibrene er deres evne til at overføre fugt og sved til de yderste lag af sokkerne. Dette betyder, at sved og fugt fordamper hurtigt, og at sokkerne tørrer meget hurtigt.",1,2.0,21.0,4.0,8.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TripAdvisor er stolte af at være samarbejdspartner med Agoda, Booking.com, Priceline og Hotwire, så du med ro i sindet kan reservere på Villa Nagara. Vi hjælper millioner af rejsende hver måned med at finde det perfekte hotel til både ferier og forretningsrejser og altid med de bedste rabatter og særtilbud.",0,2.0,27.5,0.5,1.0,0.0,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Spot er jo primært lydighedshund, men jeg synes altså også det er super sjovt at lave alt muligt andet med ham. Så derfor går vi også agility, nordisk og rally. I søndags fik vi vores 2. pind i rally ekspert og her er videoen fra dagen.",0,3.0,17.0,4.898979485566356,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
" I disse tider, hvor klimaforandringer og bæredygtighed er på alles læber, er der en organisation, der skiller sig ud med deres dedikation og vision for en grønnere fremtid. Organisationen ""Grøn Fremtid"" kæmper for at inspirere og motivere folk til at tage ansvar for vores planet og tage hånd om miljøet på en bæredygtig måde. ""Grøn Fremtid"" blev grundlagt i 2010 af en gruppe miljøbevidste individer, der var trætte af at se deres omgivelser blive ødelagt af forurening og overforbrug. Organisationens primære formål er at oplyse og uddanne folk om vigtigheden af bæredygtighed og skabe en grønnere tankegang i samfundet.",1,4.0,27.75,4.085033659592048,3.6666666666666665,3.299831645537222,0.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jeg stoppede i sidste sommer til en drink på terrassen. De gjorde mig en fantastisk Long Island iste. Jeg kom tilbage til sommer med venner og foreslog, at vi stopper. Jeg var ikke skuffet! De gør virkelig de bedste Long Island. 1001 Jeg var nødt..",0,6.0,8.666666666666666,3.197221015541813,4.4,2.4979991993593593,0.6666666666666666,1.6666666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trods en dramatisk Generalforsamling i Dansk Islandsheste Forening (DI), var der også positiv stemning, nemlig da avlens priser skulle uddeles. 2013 har været et fantastisk år for dansk avl og der er blevet fremvist så mange gode danskavlede heste, fx i forbindelse med dette års Verdensmesterskab i Berlin i sommers. Det står tydeligt for enhver, at de danske avlere og deres heste, som i år blev hyldet og præmieret, måler sig med nogle af de bedste heste i verden. Stutteri Guldbæk blev fortjent ""Årets avler"" med hele tre heste i top: Ardis, Þerne & Viðar fra Guldbæk.",0,4.0,28.25,4.322904116447646,6.0,3.7416573867739413,0.75,4.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
" Jeg mener, at det er vigtigt at være opmærksom på de potentielle negative konsekvenser af at se pornografisk materiale. Mange studier har vist, at det kan have en negativ indflydelse på vores syn på seksualitet, forhold og kønsroller.",1,2.0,21.5,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
" Kenzo's super cool skinny jeans i sort er et must-have til enhver garderobe. Disse jeans sætter en helt ny standard for klassisk tæt pasform og facon. Men det er detaljerne, der virkelig skiller sig ud. Langs buksekanten finder man det ikoniske Kenzo-print, der tilsammen skaber et unikt og iøjnefaldende look. Med dette design behøver man ikke længere at nøjes med at være diskret.",1,5.0,14.2,1.9390719429665317,3.25,1.7853571071357126,1.0,1.2,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
" Jeg fandt lige en spændende stilling, som jeg tænkte, jeg ville dele med jer. Køge Kraftvarmeværk søger nemlig en dygtig el- og automationsmedarbejder til at vedligeholde deres produktionsanlæg og hjælpe med fejlfinding og meget mere. Lyder det ikke som en interessant udfordring? Hvis I er nysgerrige efter flere detaljer om stillingen, kan I ringe til teamleder Henrik Lindhardt på telefonnummeret 23 22 39 87. Han kan også give jer en funktionsbeskrivelse, hvis I ønsker det.",1,5.0,16.8,5.844655678480984,11.5,4.153311931459037,0.6,2.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
